capturedDate,impressions,clicks,impressions_cumul,clicks_cumul,channel_name,region
2018-09-23,8.0,0.0,17302.0,9.0,Display,Bali
2018-09-23,5.0,0.0,17307.0,9.0,Display,Bali
2018-09-24,2.0,0.0,17309.0,9.0,Display,Bali
2018-09-24,2.0,0.0,17311.0,9.0,Display,Bali
2018-09-24,2.0,0.0,17313.0,9.0,Display,Bali
2018-09-24,13.0,0.0,17326.0,9.0,Display,Bali
2018-09-24,19.0,0.0,17345.0,9.0,Display,Bali
2018-09-24,3.0,0.0,17348.0,9.0,Display,Bali
2018-09-24,2779.0,2.0,20127.0,11.0,Display,Bali
2018-09-24,1.0,0.0,20128.0,11.0,Display,Bali
2018-09-25,953.0,0.0,21081.0,11.0,Display,Bali
2018-09-25,22.0,0.0,21103.0,11.0,Display,Bali
2018-09-25,4.0,0.0,21107.0,11.0,Display,Bali
2018-09-25,1.0,0.0,21108.0,11.0,Display,Bali
2018-09-25,1.0,0.0,21109.0,11.0,Display,Bali
2018-09-25,4.0,0.0,21113.0,11.0,Display,Bali
2018-09-25,1.0,0.0,21114.0,11.0,Display,Bali
2018-09-25,15.0,0.0,21129.0,11.0,Display,Bali
2018-09-25,2.0,0.0,21131.0,11.0,Display,Bali
2018-09-26,0.0,0.0,21131.0,11.0,Display,Bali
2018-09-26,5.0,0.0,21136.0,11.0,Display,Bali
2018-09-26,1.0,0.0,21137.0,11.0,Display,Bali
2018-09-26,4.0,0.0,21141.0,11.0,Display,Bali
2018-09-26,21.0,0.0,21162.0,11.0,Display,Bali
2018-09-26,1626.0,4.0,22788.0,15.0,Display,Bali
2018-09-26,7.0,0.0,22795.0,15.0,Display,Bali
2018-09-26,13.0,0.0,22808.0,15.0,Display,Bali
2018-09-17,0.0,0.0,0.0,0.0,Display,Bangka Belitung
2018-09-17,3.0,0.0,3.0,0.0,Display,Bangka Belitung
2018-09-18,0.0,0.0,3.0,0.0,Display,Bangka Belitung
2018-09-18,2.0,0.0,5.0,0.0,Display,Bangka Belitung
